date,Close,vol
2001-09-21,121.2,0.0
2001-09-24,121.1,0.0008300000000000001
2001-09-25,121.22,0.00084
2001-09-26,120.54,0.00157
2001-09-27,120.3,0.0016
2001-09-28,120.15,0.00158
2001-10-08,118.85,0.00302
2001-10-09,118.62,0.00296
2001-10-10,118.23,0.00298
2001-10-11,118.78,0.0031
2001-10-12,117.92,0.0034799999999999996
2001-10-15,117.2,0.0036799999999999997
2001-10-16,117.09,0.00358
2001-10-17,117.52,0.00358
2001-10-18,118.09,0.00367
2001-10-19,117.6,0.0037
2001-10-22,117.91,0.00365
2001-10-23,117.29,0.0037600000000000003
2001-10-24,117.34,0.00365
2001-10-25,116.98,0.0036200000000000004
2001-10-26,116.92,0.00352
2001-10-29,117.15,0.00345
2001-10-30,117.26,0.00336
2001-10-31,118.5,0.00411
2001-11-01,118.25,0.00403
2001-11-02,118.4,0.00392
2001-11-05,118.83,0.00391
2001-11-06,120.61,0.00519
2001-11-07,120.31,0.0050799999999999994
2001-11-08,121.54,0.0055
2001-11-09,120.71,0.00558
2001-11-12,120.16,0.005529999999999999
2001-11-13,120.05,0.005379999999999999
2001-11-14,120.01,0.005220000000000001
2001-11-15,119.69,0.00511
2001-11-16,118.17,0.0058200000000000005
2001-11-19,118.18,0.00566
2001-11-20,118.9,0.005679999999999999
2001-11-21,119.55,0.0056700000000000006
2001-11-22,119.97,0.00557
2001-11-23,119.91,0.00541
2001-11-26,119.86,0.00525
2001-11-27,120.05,0.00511
2001-11-28,119.68,0.00502
2001-11-29,120.37,0.00507
2001-11-30,120.25,0.00492
2001-12-03,120.18,0.0047799999999999995
2001-12-04,119.4,0.0049
2001-12-05,119.66,0.00479
2001-12-06,119.75,0.00465
2001-12-07,120.5,0.00476
2001-12-10,119.93,0.00476
2001-12-11,120.41,0.00472
2001-12-12,119.92,0.00468
2001-12-13,120.34,0.00462
2001-12-14,120.44,0.00449
2001-12-17,119.87,0.00451
2001-12-18,118.92,0.00477
2001-12-19,118.56,0.00469
2001-12-20,118.95,0.00462
2001-12-21,118.63,0.004529999999999999
2001-12-24,117.7,0.00479
2001-12-25,116.26,0.0055
2001-12-26,116.9,0.0055
2001-12-27,117.26,0.00539
2001-12-28,116.95,0.00527
2001-12-31,116.6,0.00517
2002-01-04,116.1,0.00512
2002-01-07,116.61,0.0050799999999999994
2002-01-08,115.91,0.00514
2002-01-09,117.34,0.00579
2002-01-10,116.71,0.00577
2002-01-11,117.3,0.00573
2002-01-14,117.23,0.00556
2002-01-15,116.85,0.0054600000000000004
2002-01-16,116.72,0.0053100000000000005
2002-01-17,117.22,0.00525
2002-01-18,118.69,0.00591
2002-01-21,118.39,0.00577
2002-01-22,119.27,0.00587
2002-01-23,118.52,0.0059
2002-01-24,119.04,0.0058200000000000005
2002-01-25,118.74,0.00569
2002-01-28,117.77,0.00586
2002-01-29,118.72,0.006
2002-01-30,118.1,0.00596
2002-01-31,117.73,0.00584
2002-02-01,117.79,0.0056700000000000006
2002-02-04,117.62,0.005520000000000001
2002-02-05,117.34,0.00539
2002-02-06,117.63,0.00527
2002-02-07,118.14,0.005220000000000001
2002-02-08,117.84,0.0051
2002-02-25,118.35,0.00506
2002-02-26,118.34,0.00491
2002-02-27,117.63,0.00498
2002-02-28,117.91,0.00487
2002-03-01,118.05,0.00474
2002-03-04,119.38,0.00532
2002-03-05,119.75,0.005220000000000001
2002-03-06,119.73,0.00507
2002-03-07,119.46,0.00495
2002-03-08,118.02,0.00562
2002-03-11,118.33,0.00549
2002-03-12,118.08,0.00535
2002-03-13,118.21,0.00521
2002-03-14,118.31,0.00506
2002-03-15,117.67,0.0050799999999999994
2002-03-18,117.64,0.0049299999999999995
2002-03-19,117.61,0.00479
2002-03-20,117.57,0.00465
2002-03-21,117.76,0.00454
2002-03-22,118.1,0.00446
2002-03-25,118.78,0.00454
2002-03-26,118.38,0.00448
2002-03-27,118.56,0.004370000000000001
2002-03-28,119.12,0.00439
2002-03-29,118.93,0.00428
2002-04-01,118.95,0.00415
2002-04-02,118.83,0.00404
2002-04-03,119.38,0.004079999999999999
2002-04-04,119.81,0.00405
2002-04-05,120.15,0.00399
2002-04-08,120.53,0.00395
2002-04-09,120.0,0.00398
2002-04-10,120.32,0.00391
2002-04-11,119.93,0.0038799999999999998
2002-04-12,120.2,0.0038
2002-04-15,118.98,0.00442
2002-04-16,119.08,0.0043
2002-04-17,118.73,0.00424
2002-04-18,118.47,0.00415
2002-04-19,119.22,0.0043
2002-04-22,119.15,0.00418
2002-04-23,119.2,0.00406
2002-04-24,119.51,0.00399
2002-04-25,118.38,0.00449
2002-04-26,118.02,0.00442
2002-04-29,117.74,0.00433
2002-04-30,117.64,0.00421
2002-05-08,117.32,0.00414
2002-05-09,117.25,0.00402
2002-05-10,117.41,0.00392
2002-05-13,117.35,0.00381
2002-05-14,116.72,0.00391
2002-05-15,116.56,0.00381
2002-05-16,116.16,0.00379
2002-05-17,116.01,0.0037
2002-05-20,116.75,0.0039
2002-05-21,116.78,0.00379
2002-05-22,116.53,0.00371
2002-05-23,116.8,0.00365
2002-05-24,117.06,0.00358
2002-05-27,117.04,0.0034799999999999996
2002-05-28,117.34,0.00343
2002-05-29,117.43,0.0033399999999999997
2002-05-30,116.14,0.00418
2002-05-31,116.21,0.00406
2002-06-03,115.32,0.00435
2002-06-04,114.27,0.00475
2002-06-05,112.04,0.00659
2002-06-06,112.08,0.0064
2002-06-07,111.46,0.00636
2002-06-10,112.06,0.0063
2002-06-11,111.9,0.00613
2002-06-12,110.96,0.00629
2002-06-13,111.38,0.00617
2002-06-14,111.16,0.00601
2002-06-17,110.68,0.0059299999999999995
2002-06-18,110.87,0.00577
2002-06-19,111.05,0.00562
2002-06-20,109.91,0.00598
2002-06-21,109.62,0.00585
2002-06-24,109.08,0.0058
2002-06-25,108.69,0.00569
2002-06-26,109.01,0.00557
2002-06-27,108.8,0.00543
2002-06-28,109.54,0.005520000000000001
2002-07-01,109.8,0.00539
2002-07-02,109.33,0.00533
2002-07-03,110.19,0.00551
2002-07-04,109.55,0.005520000000000001
2002-07-05,108.91,0.00554
2002-07-08,109.56,0.00557
2002-07-09,109.27,0.0054399999999999995
2002-07-10,108.43,0.0056
2002-07-11,108.38,0.0054399999999999995
2002-07-12,108.26,0.0052899999999999996
2002-07-15,108.75,0.00525
2002-07-16,110.0,0.0057799999999999995
2002-07-17,111.19,0.00617
2002-07-18,109.58,0.0069299999999999995
2002-07-19,109.88,0.0067599999999999995
2002-07-22,110.24,0.0066099999999999996
2002-07-23,109.33,0.00672
2002-07-24,108.34,0.00688
2002-07-25,108.73,0.00673
2002-07-26,108.76,0.006540000000000001
2002-07-29,108.11,0.006509999999999999
2002-07-30,108.3,0.00634
2002-07-31,108.87,0.00628
2002-08-01,108.01,0.006379999999999999
2002-08-02,109.12,0.006659999999999999
2002-08-05,108.94,0.00648
2002-08-06,108.8,0.0063
2002-08-07,109.26,0.0062
2002-08-08,109.37,0.00603
2002-08-09,109.11,0.00588
2002-08-12,109.08,0.00571
2002-08-13,109.58,0.00565
2002-08-14,109.33,0.005520000000000001
2002-08-15,108.66,0.00555
2002-08-16,108.16,0.0055
2002-08-19,108.22,0.00535
2002-08-20,107.66,0.00534
2002-08-21,107.36,0.005229999999999999
2002-08-22,107.12,0.0051
2002-08-23,108.36,0.0056700000000000006
