PRICING_DATE,PX_LAST
2002-05-09,2.6875
2002-05-10,2.65
2002-05-13,2.5875
2002-05-14,2.7275
2002-05-15,2.7375
2002-05-16,2.6625
2002-05-17,2.7375
2002-05-20,2.6775
2002-05-21,2.6325
2002-05-22,2.5875
2002-05-23,2.6125
2002-05-24,2.6475
2002-05-27,2.6825
2002-05-28,2.6625
2002-05-29,2.6425
2002-05-30,2.6075
2002-05-31,2.6375
2002-06-03,2.6275
2002-06-04,2.5675
2002-06-05,2.5825
2002-06-06,2.5725
2002-06-07,2.5575
2002-06-10,2.5725
2002-06-11,2.5425
2002-06-12,2.4775
2002-06-13,2.4525
2002-06-14,2.3825
2002-06-17,2.3875
2002-06-18,2.3925
2002-06-19,2.3475
2002-06-20,2.3275
2002-06-21,2.3525
2002-06-24,2.3025
2002-06-25,2.3475
2002-06-26,2.2325
2002-06-27,2.2675
2002-06-28,2.3025
2002-07-01,2.2875
2002-07-02,2.2425
2002-07-03,2.2225
2002-07-04,2.2575
2002-07-05,2.3125
2002-07-08,2.2825
2002-07-09,2.2575
2002-07-10,2.1925
2002-07-11,2.1275
2002-07-12,2.1225
2002-07-15,2.0675
2002-07-16,2.1375
2002-07-17,2.1725
2002-07-18,2.1475
2002-07-19,2.0975
2002-07-22,2.0425
2002-07-23,2.0475
2002-07-24,1.9775
2002-07-25,1.9975
2002-07-26,1.9525
2002-07-29,2.0375
2002-07-30,2.0625
2002-07-31,2.0025
2002-08-01,1.9075
2002-08-02,1.8225
2002-08-05,1.7875
2002-08-06,1.8375
2002-08-07,1.7575
2002-08-08,1.79
2002-08-09,1.8675
2002-08-12,1.8375
2002-08-13,1.8325
2002-08-14,1.85
2002-08-15,1.9325
2002-08-16,1.9325
2002-08-19,1.9425
2002-08-20,1.8675
2002-08-21,1.8875
2002-08-22,1.9325
2002-08-23,1.9375
2002-08-26,1.9125
2002-08-27,1.9975
2002-08-28,1.9625
2002-08-29,1.9075
2002-08-30,1.9225
2002-09-02,1.91
2002-09-03,1.8075
2002-09-04,1.7975
2002-09-05,1.7875
2002-09-06,1.8525
2002-09-09,1.8725
2002-09-10,1.9325
2002-09-11,2.0025
2002-09-12,1.9525
2002-09-13,1.9125
2002-09-16,1.9075
2002-09-17,1.945
2002-09-18,1.8775
2002-09-19,1.8425
2002-09-20,1.8275
2002-09-23,1.8025
2002-09-24,1.7675
2002-09-25,1.7775
2002-09-26,1.8225
2002-09-27,1.7675
2002-09-30,1.6425
2002-10-01,1.6625
2002-10-02,1.7175
2002-10-03,1.6775
2002-10-04,1.7475
2002-10-07,1.7325
2002-10-08,1.7125
2002-10-09,1.7425
2002-10-10,1.7375
2002-10-11,1.7775
2002-10-14,1.765
2002-10-15,1.9125
2002-10-16,1.9075
2002-10-17,1.9525
2002-10-18,1.9525
2002-10-21,1.9725
2002-10-22,1.9875
2002-10-23,1.9075
2002-10-24,1.9225
2002-10-25,1.8625
2002-10-28,1.7275
2002-10-29,1.6425
2002-10-30,1.6475
2002-10-31,1.5875
2002-11-01,1.605
2002-11-04,1.6225
2002-11-05,1.6175
2002-11-06,1.6125
2002-11-07,1.5425
2002-11-08,1.5475
2002-11-11,1.5375
2002-11-12,1.5275
2002-11-13,1.5275
2002-11-14,1.5725
2002-11-15,1.6375
2002-11-18,1.63
2002-11-19,1.595
2002-11-20,1.6075
2002-11-21,1.6875
2002-11-22,1.6775
2002-11-25,1.6825
2002-11-26,1.6825
2002-11-27,1.7075
2002-11-28,1.7075
