词坠
"a(1)加在单词或词根前面,表示不、无、非(2)加在单词前,表示在……,……的"
"ab-, abs-加在词根前,表示相反、变坏、离去等"
"ab-, ac-, ad-, af-, ag-, an-, ap-, ar-, as-, at-等加在同辅音字母的词根前, 表示“一再”等加强意"
"ad-加在在单词或词根前,表示做……,加强……"
"amphi-表示两个,两种"
"an-在词根前,表示不、无"
"ana-表示错误,在旁边,分开"
andr(o)-表示男
"ante-表示前面,先"
"anti-表示反对,相反"
"anthrop(o)-表示人,人类"
"be(1)构成动词,表示使……成为(2)构成一些介词"
"bene- 表示善,好"
"bi-表示两个,两"
"by-表示在旁边,副的"
"circum-表示环绕,周围"
"co-表示共同,通常放在元音词根前"
"col-, cor-在同辅音词根前,表示共同"
"com-, con-表示共同"
contra-表示反对、相反
counter-表示反对、相反
"de(1)表示去掉,变坏,离开,变慢,向下等(2)表示使……成为,加强等"
dem(o)-表示人民
"di(1)表示两个,双(2)表示使……变成,分开,离开"
"dia-表示穿过,二者之间"
"dif-和辅音重复表示不,否定,分开"
"dis(1)表示不,消失掉(2)表示分开,分离"
"dys-表示坏,不良"
"e-, ef-表示出,出来"
"em-, en(1)表示进入……之中,包围(2)表示使……进入状态"
"epi-表示在……上,在……周围,在……后面"
"eu-表示好,优秀"
"ex(1)表示出,出去(2)表示前面的,前任的"
"extra-表示以外的,超过的"
"fem-,femin-表示女"
"fore-表示前面,预先"
"gyn(o)-,gynec(o)-表示女"
"hetero-表示异类,异种"
homo-表示同类的
"hyper-表示超过,太多"
"hypo-表示下面,次等"
"il-,ir(1)放在同辅音词根前表示不、无(2)表示使…….成为,进入"
"im-,inC.常用前缀1 高 频 词 根 词 缀601 602 "
"inter-表示在……之间,相互"
"intro-表示向内,入内"
"macro-表示宏伟,大"
"mal-表示坏,恶(亦作male) "
"matr(i)-,mater-,metro-表示母"
"micro-表示微,小"
mini-表示小
"mis-表示错误,坏"
"mono-表示单个,一个"
multi-表示很多
neo-表示新的
"non-表示不,非"
omni-表示全部.到处
"out(1)表示超过,过度(2)表示出去,过时"
"over(1)表示过度,过分(2)表示在……之上(3)表示翻转"
"paleo-表示古,旧"
pan-表示广泛的
"para(1)表示半,类似,辅助(2)表示在旁边(3)表示降落伞"
"patr(i)-,part(o)-,pater-表示父,祖(1)pen-表示近似,差不多(2)per(1)表示贯穿,自始至终(2)表示假,坏"
"peri-表示周围,靠近"
poly-表示多
popul-表示人民
post-表示在后面
"pre-表示……前的,预先"
"pro(1)表示向前,在前(2)表示很多……(3)表示赞同,亲……"
"pseudo表示假,伪"
"re(1)表示向后,相反,不(2)表示一再,重新"
"retro-表示向后,倒退"
"se-表示分开,离开,区别开"
"sub(1)表示在下面,次一等,副手(2)表示接近,靠近"
"suc-, suf-, sup-, sur-等在同辅音词根前表示在……下面"
"sur-表示超过,在上面"
"super(1)表示超级,超过,过度(2)表示在……上面"
sus-表示在……下面
"sym-, syn-表示共同,相同"
"trans(1)表示横过,越过(2)表示变换,改变,转移"
"ultra(1)表示极端(2)表示超出,超过高 频 词 根 词 缀603 604 "
"un(1)表示不,无,非,没有(2)表示打开,解开,弄出"
"under(1)表示在……下(2)表示不足,不够(3)表示副手"
vir-表示男
"sept, septi-表示七"
sex-表示六
step-表示后、继或前夫(妻)所生
stereo-表示立体
supra-表示超……
tetra-表示四
tri-表示三
"twi-表示二,两"
"cata-表示向下,相反,离开"
deca-表示十
deci-表示十分之一
demi-表示半
endo-表示内部
"hecto-表示百,许多"
hemi-表示半
hepta-表示七
hexa-表示六
holo-表示全部
"intra-表示在内,内部"
"iso-表示等,同"
kilo-表示千
"meta-表示超过,改变"
"milli-表示千,千分之一"
"ob-表示逆、倒,加强意义"
octa-表示八(亦作octo-) 
penta-表示五
"quadri-, quadru-表示四"
"quasi-表示类似,准"
semi-表示半
"sept, septi-表示七"
sex-表示六
step-表示后、继或前夫(妻)所生D.常用前缀2 
"cata-表示向下,相反,离开"
deca-表示十
deci-表示十分之一
demi-表示半
endo-表示内部
"hecto-表示百,许多"
hemi-表示半
hepta-表示七
hexa-表示六
holo-表示全部
"intra-表示在内,内部"
"iso-表示等,同"
kilo-表示千
"meta-表示超过,改变"
"milli-表示千,千分之一"
"ob-表示逆、倒,加强意义"
octa-表示八(亦作octo-) 
penta-表示五
"quadri-, quadru-表示四"
"quasi-表示类似,准"
semi-表示半 高 频 词 根 词 缀605 606 
stereo-表示立体
supra-表示超……
tetra-表示四
tri-表示三
"twi-表示二,两"
"uni-表示一个,单一"
vice-表示副
"with-表示向后,相反"
